t,u,y
0.00000000,1.49205637,302.14288330
0.02000000,1.49205637,289.28573608
0.04000000,1.49205637,257.14288330
0.06000000,1.49205637,231.42857361
0.08000000,1.49205637,218.57145691
0.10000000,1.49205637,212.14288330
0.12000000,1.49205637,205.71429443
0.14000000,1.49205637,212.14288330
0.16000000,1.49205637,199.28572083
0.18000000,1.49205637,205.71429443
0.20000000,1.49205637,205.71429443
0.22000000,1.49205637,205.71429443
0.24000000,1.49205637,199.28572083
0.26000000,1.49205637,205.71429443
0.28000000,1.49205637,205.71429443
0.30000000,1.49205637,205.71429443
0.32000000,1.49205637,199.28572083
0.34000000,1.49205637,205.71429443
0.36000000,1.49205637,199.28572083
0.38000000,1.49205637,205.71429443
0.40000000,1.49205637,205.71429443
0.42000000,1.49205637,199.28572083
0.44000000,1.49205637,205.71429443
0.46000000,1.49205637,199.28572083
0.48000000,1.49205637,205.71429443
0.50000000,1.49205637,205.71429443
0.52000000,1.49205637,199.28572083
0.54000000,1.49205637,205.71429443
0.56000000,1.49205637,199.28572083
0.58000000,1.49205637,205.71429443
0.60000000,1.49205637,205.71429443
0.62000000,1.49205637,199.28572083
0.64000000,1.49205637,199.28572083
0.66000000,1.49205637,205.71429443
0.68000000,1.49205637,205.71429443
0.70000000,1.49205637,199.28572083
0.72000000,1.49205637,199.28572083
0.74000000,1.49205637,205.71429443
0.76000000,1.49205637,205.71429443
0.78000000,1.49205637,199.28572083
0.80000000,1.49205637,199.28572083
0.82000000,1.49205637,205.71429443
0.84000000,1.49205637,205.71429443
0.86000000,1.49205637,199.28572083
0.88000000,1.49205637,199.28572083
0.90000000,1.49205637,205.71429443
0.92000000,1.49205637,205.71429443
0.94000000,1.49205637,199.28572083
0.96000000,1.49205637,199.28572083
0.98000000,1.49205637,205.71429443
1.00000000,1.49205637,205.71429443
1.02000000,1.49205637,199.28572083
1.04000000,1.49205637,199.28572083
1.06000000,1.49205637,205.71429443
1.08000000,1.49205637,205.71429443
1.10000000,1.49205637,199.28572083
1.12000000,1.49205637,205.71429443
1.14000000,1.49205637,199.28572083
1.16000000,1.49205637,205.71429443
1.18000000,1.49205637,205.71429443
1.20000000,1.49205637,199.28572083
1.22000000,1.49205637,199.28572083
1.24000000,1.49205637,205.71429443
1.26000000,1.49205637,199.28572083
1.28000000,1.49205637,205.71429443
1.30000000,1.49205637,199.28572083
1.32000000,1.49205637,205.71429443
1.34000000,1.49205637,199.28572083
1.36000000,1.49205637,199.28572083
1.38000000,1.49205637,205.71429443
1.40000000,1.49205637,205.71429443
1.42000000,1.49205637,199.28572083
1.44000000,1.49205637,199.28572083
1.46000000,1.49205637,205.71429443
1.48000000,1.49205637,199.28572083
1.50000000,1.49205637,199.28572083
1.52000000,1.49205637,205.71429443
1.54000000,1.49205637,199.28572083
1.56000000,1.49205637,205.71429443
1.58000000,1.49205637,199.28572083
1.60000000,2.80596685,205.71429443
1.62000000,2.80596685,237.85716248
1.64000000,2.80596685,315.00003052
1.66000000,2.80596685,347.14288330
1.68000000,2.80596685,372.85717773
1.70000000,2.80596685,385.71432495
1.72000000,2.80596685,398.57144165
1.74000000,2.80596685,398.57144165
1.76000000,2.80596685,405.00003052
1.78000000,2.80596685,405.00003052
1.80000000,2.80596685,405.00003052
1.82000000,2.80596685,405.00003052
1.84000000,2.80596685,405.00003052
1.86000000,2.80596685,411.42858887
1.88000000,2.80596685,411.42858887
1.90000000,2.80596685,405.00003052
1.92000000,2.80596685,411.42858887
1.94000000,2.80596685,405.00003052
1.96000000,2.80596685,411.42858887
1.98000000,2.80596685,411.42858887
2.00000000,2.80596685,411.42858887
2.02000000,2.80596685,405.00003052
2.04000000,2.80596685,411.42858887
2.06000000,2.80596685,411.42858887
2.08000000,1.49205637,405.00003052
2.10000000,1.49205637,372.85717773
2.12000000,1.49205637,302.14288330
2.14000000,1.49205637,263.57147217
2.16000000,1.49205637,237.85716248
2.18000000,1.49205637,225.00003052
2.20000000,1.49205637,212.14288330
2.22000000,1.49205637,212.14288330
2.24000000,1.49205637,205.71429443
2.26000000,1.49205637,205.71429443
2.28000000,1.49205637,205.71429443
2.30000000,1.49205637,205.71429443
2.32000000,1.49205637,205.71429443
2.34000000,1.49205637,205.71429443
2.36000000,1.49205637,205.71429443
2.38000000,1.49205637,199.28572083
2.40000000,1.49205637,205.71429443
2.42000000,1.49205637,199.28572083
2.44000000,1.49205637,205.71429443
2.46000000,1.49205637,205.71429443
2.48000000,1.49205637,199.28572083
2.50000000,1.49205637,205.71429443
2.52000000,1.49205637,199.28572083
2.54000000,1.49205637,205.71429443
2.56000000,2.80596685,205.71429443
2.58000000,2.80596685,244.28573608
